object_id,name,altitude_km,inclination_deg,period_min,phase_deg,raan_deg,eccentricity,type,notes
SAT-001,SATELLITE-ALPHA,550.0,51.6,95.3,0.0,0.0,0.0,SATELLITE,Primary tracked satellite (SYNTHETIC)
DEB-001,Falcon-9 Upper Stage,548.0,51.6,95.27,2.1,0.5,0.0,DEBRIS,Rocket body (SYNTHETIC)
DEB-002,Cosmos-1408 Fragment A,551.0,51.6,95.33,1.5,1.0,0.0,DEBRIS,Anti-satellite test fragment (SYNTHETIC)
DEB-003,Iridium-33 Fragment 1,549.5,51.6,95.3,359.0,0.0,0.0,DEBRIS,Collision fragment (SYNTHETIC)
DEB-004,Atlas-V Adapter,553.0,51.7,95.4,45.0,2.0,0.0,DEBRIS,Launch adapter (SYNTHETIC)
DEB-005,SL-14 Rocket Body,546.0,51.5,95.2,92.0,5.0,0.0,DEBRIS,Soviet rocket body (SYNTHETIC)
DEB-006,Cosmos-2251 Fragment,554.0,51.8,95.45,178.0,3.0,0.0,DEBRIS,Collision debris (SYNTHETIC)
DEB-007,Fengyun-1C Fragment A,550.5,98.7,95.32,210.0,45.0,0.0,DEBRIS,ASAT test fragment (SYNTHETIC)
DEB-008,Starlink Derelict,552.0,53.0,95.38,270.0,10.0,0.0,DEBRIS,Failed satellite (SYNTHETIC)
DEB-009,Delta-II Upper Stage,620.0,97.8,97.2,30.0,60.0,0.0,DEBRIS,Rocket body (SYNTHETIC)
DEB-010,NOAA Debris Fragment,625.0,98.1,97.3,135.0,65.0,0.0,DEBRIS,Payload fragment (SYNTHETIC)
DEB-011,Cosmos-3M Rocket Body,750.0,82.9,100.2,80.0,90.0,0.0,DEBRIS,Russian rocket body (SYNTHETIC)
DEB-012,SL-8 Rocket Body,755.0,82.9,100.3,170.0,92.0,0.0,DEBRIS,Soviet rocket body (SYNTHETIC)
DEB-013,Resurs Fragment,748.0,97.8,100.1,260.0,120.0,0.0,DEBRIS,Remote sensing payload debris (SYNTHETIC)
DEB-014,PSLV Upper Stage,800.0,97.4,101.0,15.0,150.0,0.0,DEBRIS,Indian launch vehicle stage (SYNTHETIC)
DEB-015,Landsat Fragment,805.0,98.2,101.1,320.0,155.0,0.0,DEBRIS,Observation satellite fragment (SYNTHETIC)
DEB-016,Cosmos-954 Fragment,400.0,65.0,92.5,200.0,20.0,0.0,DEBRIS,Soviet RORSAT fragment (SYNTHETIC)
DEB-017,Breeze-M Fragment A,550.2,51.6,95.31,3.5,0.2,0.0,DEBRIS,Russian upper stage fragment (SYNTHETIC) — CRITICAL RISK
DEB-018,CZ-4B Rocket Body,900.0,99.0,103.2,100.0,180.0,0.0,DEBRIS,Chinese rocket body (SYNTHETIC)
DEB-019,Meteor-M Fragment,1000.0,98.7,105.0,240.0,200.0,0.0,DEBRIS,Russian weather satellite fragment (SYNTHETIC)
DEB-020,SL-3 Rocket Body,1200.0,65.0,109.0,60.0,210.0,0.0,DEBRIS,Soviet rocket body (SYNTHETIC)
DEB-021,OrbComm Fragment,551.0,45.0,95.33,50.0,8.0,0.0,DEBRIS,Comm satellite fragment (SYNTHETIC) — HIGH RISK
DEB-022,SPOT-7 Adapter,549.0,98.7,95.28,350.0,0.5,0.0,DEBRIS,French satellite adapter (SYNTHETIC)
DEB-023,ALOS Fragment,570.0,98.2,95.7,110.0,30.0,0.0,DEBRIS,Japanese observation satellite fragment (SYNTHETIC)
DEB-024,ERBS Fragment,550.8,57.0,95.35,22.0,5.0,0.0,DEBRIS,NASA research satellite fragment (SYNTHETIC) — HIGH RISK
DEB-025,Iridium-33 Fragment 2,548.5,86.4,95.27,95.0,44.0,0.0,DEBRIS,Collision fragment (SYNTHETIC)
DEB-026,KOMPSAT Fragment,503.0,98.1,94.15,75.0,30.0,0.0,DEBRIS,Korean satellite fragment (SYNTHETIC)
DEB-027,CryoSat-2 Debris,720.0,92.0,99.4,155.0,75.0,0.0,DEBRIS,ESA mission debris (SYNTHETIC)
DEB-028,GRACE-FO Debris,490.0,89.0,94.5,310.0,100.0,0.0,DEBRIS,Gravity mission debris (SYNTHETIC)
DEB-029,Terra Fragment,705.0,98.2,99.1,200.0,140.0,0.0,DEBRIS,NASA EOS fragment (SYNTHETIC)
DEB-030,Aqua Fragment,710.0,98.1,99.2,290.0,145.0,0.0,DEBRIS,NASA EOS fragment (SYNTHETIC)
DEB-031,SL-16 Rocket Body,850.0,71.0,101.8,130.0,160.0,0.0,DEBRIS,Russian rocket body (SYNTHETIC)
DEB-032,Cosmos-2421 Fragment,550.3,51.6,95.31,5.0,0.8,0.0,DEBRIS,Naval ocean surveillance fragment (SYNTHETIC) — HIGH RISK
DEB-033,Fengyun-1C Fragment B,860.0,98.8,102.0,55.0,170.0,0.0,DEBRIS,ASAT debris (SYNTHETIC)
